Day,Date,Time,DateAndTime,Entry,is_weekend,rain_class,rain_amount,rain_desc
Tuesday,1/4/2022,18:00,01.04.2022 18.00.00,1165,0,0,0,No Rain
Tuesday,1/4/2022,19:00,01.04.2022 19.00.00,962,0,0,0,No Rain
Tuesday,1/4/2022,20:00,01.04.2022 20.00.00,803,0,0,0,No Rain
Tuesday,1/4/2022,21:00,01.04.2022 21.00.00,568,0,0,0,No Rain
Tuesday,1/4/2022,22:00,01.04.2022 22.00.00,40,0,0,0,No Rain
Tuesday,1/4/2022,23:00,01.04.2022 23.00.00,0,0,0,0,No Rain
Wednesday,1/5/2022,4:00,01.05.2022 04.00.00,0,0,0,0,No Rain
Wednesday,1/5/2022,5:00,01.05.2022 05.00.00,877,0,0,0,No Rain
Wednesday,1/5/2022,6:00,01.05.2022 06.00.00,1382,0,0,0,No Rain
Wednesday,1/5/2022,7:00,01.05.2022 07.00.00,1526,0,0,0,No Rain
Wednesday,1/5/2022,8:00,01.05.2022 08.00.00,1366,0,0,0,No Rain
Wednesday,1/5/2022,9:00,01.05.2022 09.00.00,1317,0,0,0,No Rain
Wednesday,1/5/2022,10:00,01.05.2022 10.00.00,1075,0,0,0,No Rain
Wednesday,1/5/2022,11:00,01.05.2022 11.00.00,1148,0,0,0,No Rain
Wednesday,1/5/2022,12:00,01.05.2022 12.00.00,1071,0,0,0,No Rain
Wednesday,1/5/2022,13:00,01.05.2022 13.00.00,987,0,0,0,No Rain
Wednesday,1/5/2022,14:00,01.05.2022 14.00.00,997,0,0,0,No Rain
Wednesday,1/5/2022,15:00,01.05.2022 15.00.00,1160,0,0,0,No Rain
Wednesday,1/5/2022,16:00,01.05.2022 16.00.00,1392,0,0,0,No Rain
Wednesday,1/5/2022,17:00,01.05.2022 17.00.00,1444,0,0,0,No Rain
Wednesday,1/5/2022,18:00,01.05.2022 18.00.00,1196,0,0,0,No Rain
Wednesday,1/5/2022,19:00,01.05.2022 19.00.00,905,0,0,0,No Rain
Wednesday,1/5/2022,20:00,01.05.2022 20.00.00,800,0,0,0,No Rain
Wednesday,1/5/2022,21:00,01.05.2022 21.00.00,555,0,0,0,No Rain
Wednesday,1/5/2022,22:00,01.05.2022 22.00.00,54,0,0,0,No Rain
Wednesday,1/5/2022,23:00,01.05.2022 23.00.00,0,0,0,0,No Rain
Thursday,1/6/2022,4:00,01.06.2022 04.00.00,0,0,0,0,No Rain
Thursday,1/6/2022,5:00,01.06.2022 05.00.00,843,0,0,0,No Rain
Thursday,1/6/2022,6:00,01.06.2022 06.00.00,1361,0,0,0,No Rain
Thursday,1/6/2022,7:00,01.06.2022 07.00.00,1459,0,0,0,No Rain
Thursday,1/6/2022,8:00,01.06.2022 08.00.00,1285,0,0,0,No Rain
Thursday,1/6/2022,9:00,01.06.2022 09.00.00,1230,0,0,0,No Rain
Thursday,1/6/2022,10:00,01.06.2022 10.00.00,1162,0,0,0,No Rain
Thursday,1/6/2022,11:00,01.06.2022 11.00.00,1027,0,0,0,No Rain
Thursday,1/6/2022,12:00,01.06.2022 12.00.00,993,0,0,0,No Rain
Thursday,1/6/2022,13:00,01.06.2022 13.00.00,899,0,0,0,No Rain
Thursday,1/6/2022,14:00,01.06.2022 14.00.00,967,0,0,0,No Rain
Thursday,1/6/2022,15:00,01.06.2022 15.00.00,996,0,0,0,No Rain
Thursday,1/6/2022,16:00,01.06.2022 16.00.00,1159,0,0,0,No Rain
Thursday,1/6/2022,17:00,01.06.2022 17.00.00,1331,0,0,0,No Rain
Thursday,1/6/2022,18:00,01.06.2022 18.00.00,997,0,0,0,No Rain
Thursday,1/6/2022,19:00,01.06.2022 19.00.00,851,0,0,0,No Rain
Thursday,1/6/2022,20:00,01.06.2022 20.00.00,703,0,0,0,No Rain
Thursday,1/6/2022,21:00,01.06.2022 21.00.00,505,0,0,0,No Rain
Thursday,1/6/2022,22:00,01.06.2022 22.00.00,52,0,0,0,No Rain
Thursday,1/6/2022,23:00,01.06.2022 23.00.00,0,0,0,0,No Rain
Friday,1/7/2022,4:00,01.07.2022 04.00.00,0,0,0,0,No Rain
Friday,1/7/2022,5:00,01.07.2022 05.00.00,756,0,0,0,No Rain
Friday,1/7/2022,6:00,01.07.2022 06.00.00,1201,0,0,0,No Rain
Friday,1/7/2022,7:00,01.07.2022 07.00.00,1477,0,0,0,No Rain
Friday,1/7/2022,8:00,01.07.2022 08.00.00,1217,0,0,0,No Rain
Friday,1/7/2022,9:00,01.07.2022 09.00.00,1203,0,0,0,No Rain
Friday,1/7/2022,10:00,01.07.2022 10.00.00,1139,0,0,0,No Rain
Friday,1/7/2022,11:00,01.07.2022 11.00.00,1031,0,0,0,No Rain
Friday,1/7/2022,12:00,01.07.2022 12.00.00,1036,0,0,0,No Rain
Friday,1/7/2022,13:00,01.07.2022 13.00.00,958,0,0,0,No Rain
Friday,1/7/2022,14:00,01.07.2022 14.00.00,1000,0,0,0,No Rain
Friday,1/7/2022,15:00,01.07.2022 15.00.00,1133,0,0,0,No Rain
Friday,1/7/2022,16:00,01.07.2022 16.00.00,1239,0,0,0,No Rain
Friday,1/7/2022,17:00,01.07.2022 17.00.00,1303,0,0,0,No Rain
Friday,1/7/2022,18:00,01.07.2022 18.00.00,1180,0,0,0,No Rain
Friday,1/7/2022,19:00,01.07.2022 19.00.00,826,0,0,0,No Rain
Friday,1/7/2022,20:00,01.07.2022 20.00.00,768,0,0,0,No Rain
Friday,1/7/2022,21:00,01.07.2022 21.00.00,538,0,0,0,No Rain
Friday,1/7/2022,22:00,01.07.2022 22.00.00,31,0,0,0,No Rain
Friday,1/7/2022,23:00,01.07.2022 23.00.00,0,0,0,0,No Rain
Saturday,1/8/2022,4:00,01.08.2022 04.00.00,0,1,0,0,No Rain
Saturday,1/8/2022,5:00,01.08.2022 05.00.00,612,1,0,0,No Rain
Saturday,1/8/2022,6:00,01.08.2022 06.00.00,872,1,0,0,No Rain
Saturday,1/8/2022,7:00,01.08.2022 07.00.00,917,1,0,0,No Rain
Saturday,1/8/2022,8:00,01.08.2022 08.00.00,908,1,0,0,No Rain
Saturday,1/8/2022,9:00,01.08.2022 09.00.00,872,1,0,0,No Rain
Saturday,1/8/2022,10:00,01.08.2022 10.00.00,811,1,0,0,No Rain
Saturday,1/8/2022,11:00,01.08.2022 11.00.00,846,1,0,0,No Rain
Saturday,1/8/2022,12:00,01.08.2022 12.00.00,725,1,0,0,No Rain
Saturday,1/8/2022,13:00,01.08.2022 13.00.00,828,1,0,0,No Rain
Saturday,1/8/2022,14:00,01.08.2022 14.00.00,782,1,0,0,No Rain
Saturday,1/8/2022,15:00,01.08.2022 15.00.00,970,1,0,0,No Rain
Saturday,1/8/2022,16:00,01.08.2022 16.00.00,1106,1,0,0,No Rain
Saturday,1/8/2022,17:00,01.08.2022 17.00.00,1218,1,0,0,No Rain
Saturday,1/8/2022,18:00,01.08.2022 18.00.00,998,1,0,0,No Rain
