Day,Date,Time,DateAndTime,Entry,is_weekend,rain_class,rain_amount,rain_desc
Wednesday,1/4/2023,12:00,04.01.2023 12.00.00,2627,0,3,22,Moderate Rain
Wednesday,1/4/2023,13:00,04.01.2023 13.00.00,2323,0,3,22,Moderate Rain
Wednesday,1/4/2023,14:00,04.01.2023 14.00.00,2406,0,3,22,Moderate Rain
Wednesday,1/4/2023,15:00,04.01.2023 15.00.00,2544,0,3,22,Moderate Rain
Wednesday,1/4/2023,16:00,04.01.2023 16.00.00,2946,0,3,22,Moderate Rain
Wednesday,1/4/2023,17:00,04.01.2023 17.00.00,3641,0,3,22,Moderate Rain
Wednesday,1/4/2023,18:00,04.01.2023 18.00.00,3124,0,3,22,Moderate Rain
Wednesday,1/4/2023,19:00,04.01.2023 19.00.00,2744,0,3,22,Moderate Rain
Wednesday,1/4/2023,20:00,04.01.2023 20.00.00,2358,0,3,22,Moderate Rain
Wednesday,1/4/2023,21:00,04.01.2023 21.00.00,1701,0,3,22,Moderate Rain
Wednesday,1/4/2023,22:00,04.01.2023 22.00.00,52,0,3,22,Moderate Rain
Wednesday,1/4/2023,23:00,04.01.2023 23.00.00,0,0,3,22,Moderate Rain
Thursday,1/5/2023,4:00,05.01.2023 04.00.00,0,0,3,17,Moderate Rain
Thursday,1/5/2023,5:00,05.01.2023 05.00.00,2207,0,3,17,Moderate Rain
Thursday,1/5/2023,6:00,05.01.2023 06.00.00,3212,0,3,17,Moderate Rain
Thursday,1/5/2023,7:00,05.01.2023 07.00.00,4269,0,3,17,Moderate Rain
Thursday,1/5/2023,8:00,05.01.2023 08.00.00,3814,0,3,17,Moderate Rain
Thursday,1/5/2023,9:00,05.01.2023 09.00.00,2776,0,3,17,Moderate Rain
Thursday,1/5/2023,10:00,05.01.2023 10.00.00,2303,0,3,17,Moderate Rain
Thursday,1/5/2023,11:00,05.01.2023 11.00.00,2156,0,3,17,Moderate Rain
Thursday,1/5/2023,12:00,05.01.2023 12.00.00,2133,0,3,17,Moderate Rain
Thursday,1/5/2023,13:00,05.01.2023 13.00.00,1880,0,3,17,Moderate Rain
Thursday,1/5/2023,14:00,05.01.2023 14.00.00,1987,0,3,17,Moderate Rain
Thursday,1/5/2023,15:00,05.01.2023 15.00.00,2042,0,3,17,Moderate Rain
Thursday,1/5/2023,16:00,05.01.2023 16.00.00,2519,0,3,17,Moderate Rain
Thursday,1/5/2023,17:00,05.01.2023 17.00.00,2820,0,3,17,Moderate Rain
Thursday,1/5/2023,18:00,05.01.2023 18.00.00,2766,0,3,17,Moderate Rain
Thursday,1/5/2023,19:00,05.01.2023 19.00.00,2462,0,3,17,Moderate Rain
Thursday,1/5/2023,20:00,05.01.2023 20.00.00,1982,0,3,17,Moderate Rain
Thursday,1/5/2023,21:00,05.01.2023 21.00.00,1522,0,3,17,Moderate Rain
Thursday,1/5/2023,22:00,05.01.2023 22.00.00,65,0,3,17,Moderate Rain
Thursday,1/5/2023,23:00,05.01.2023 23.00.00,0,0,3,17,Moderate Rain
Friday,1/6/2023,4:00,06.01.2023 04.00.00,0,0,2,7,Light Rain
Friday,1/6/2023,5:00,06.01.2023 05.00.00,2323,0,2,7,Light Rain
Friday,1/6/2023,6:00,06.01.2023 06.00.00,3330,0,2,7,Light Rain
Friday,1/6/2023,7:00,06.01.2023 07.00.00,4433,0,2,7,Light Rain
Friday,1/6/2023,8:00,06.01.2023 08.00.00,3533,0,2,7,Light Rain
Friday,1/6/2023,9:00,06.01.2023 09.00.00,2928,0,2,7,Light Rain
Friday,1/6/2023,10:00,06.01.2023 10.00.00,2508,0,2,7,Light Rain
Friday,1/6/2023,11:00,06.01.2023 11.00.00,2708,0,2,7,Light Rain
Friday,1/6/2023,12:00,06.01.2023 12.00.00,2504,0,2,7,Light Rain
Friday,1/6/2023,13:00,06.01.2023 13.00.00,2361,0,2,7,Light Rain
Friday,1/6/2023,14:00,06.01.2023 14.00.00,2432,0,2,7,Light Rain
Friday,1/6/2023,15:00,06.01.2023 15.00.00,2578,0,2,7,Light Rain
Friday,1/6/2023,16:00,06.01.2023 16.00.00,3102,0,2,7,Light Rain
Friday,1/6/2023,17:00,06.01.2023 17.00.00,3412,0,2,7,Light Rain
Friday,1/6/2023,18:00,06.01.2023 18.00.00,3322,0,2,7,Light Rain
Friday,1/6/2023,19:00,06.01.2023 19.00.00,2784,0,2,7,Light Rain
Friday,1/6/2023,20:00,06.01.2023 20.00.00,2496,0,2,7,Light Rain
Friday,1/6/2023,21:00,06.01.2023 21.00.00,1703,0,2,7,Light Rain
Friday,1/6/2023,22:00,06.01.2023 22.00.00,80,0,2,7,Light Rain
Friday,1/6/2023,23:00,06.01.2023 23.00.00,0,0,2,7,Light Rain
Saturday,1/7/2023,4:00,07.01.2023 04.00.00,0,1,0,0,No Rain
Saturday,1/7/2023,5:00,07.01.2023 05.00.00,1582,1,0,0,No Rain
Saturday,1/7/2023,6:00,07.01.2023 06.00.00,2155,1,0,0,No Rain
Saturday,1/7/2023,7:00,07.01.2023 07.00.00,2268,1,0,0,No Rain
Saturday,1/7/2023,8:00,07.01.2023 08.00.00,2320,1,0,0,No Rain
Saturday,1/7/2023,9:00,07.01.2023 09.00.00,2390,1,0,0,No Rain
Saturday,1/7/2023,10:00,07.01.2023 10.00.00,2295,1,0,0,No Rain
Saturday,1/7/2023,11:00,07.01.2023 11.00.00,2297,1,0,0,No Rain
Saturday,1/7/2023,12:00,07.01.2023 12.00.00,2411,1,0,0,No Rain
Saturday,1/7/2023,13:00,07.01.2023 13.00.00,2508,1,0,0,No Rain
Saturday,1/7/2023,14:00,07.01.2023 14.00.00,2377,1,0,0,No Rain
Saturday,1/7/2023,15:00,07.01.2023 15.00.00,2682,1,0,0,No Rain
Saturday,1/7/2023,16:00,07.01.2023 16.00.00,2961,1,0,0,No Rain
Saturday,1/7/2023,17:00,07.01.2023 17.00.00,3100,1,0,0,No Rain
Saturday,1/7/2023,18:00,07.01.2023 18.00.00,2868,1,0,0,No Rain
Saturday,1/7/2023,19:00,07.01.2023 19.00.00,2438,1,0,0,No Rain
Saturday,1/7/2023,20:00,07.01.2023 20.00.00,2143,1,0,0,No Rain
Saturday,1/7/2023,21:00,07.01.2023 21.00.00,1505,1,0,0,No Rain
Saturday,1/7/2023,22:00,07.01.2023 22.00.00,34,1,0,0,No Rain
Saturday,1/7/2023,23:00,07.01.2023 23.00.00,0,1,0,0,No Rain
Sunday,1/8/2023,4:00,08.01.2023 04.00.00,0,1,1,-1,Trace Rain
Sunday,1/8/2023,5:00,08.01.2023 05.00.00,1036,1,1,-1,Trace Rain
Sunday,1/8/2023,6:00,08.01.2023 06.00.00,1333,1,1,-1,Trace Rain
Sunday,1/8/2023,7:00,08.01.2023 07.00.00,1614,1,1,-1,Trace Rain
Sunday,1/8/2023,8:00,08.01.2023 08.00.00,1889,1,1,-1,Trace Rain
Sunday,1/8/2023,9:00,08.01.2023 09.00.00,2179,1,1,-1,Trace Rain
Sunday,1/8/2023,10:00,08.01.2023 10.00.00,2096,1,1,-1,Trace Rain
Sunday,1/8/2023,11:00,08.01.2023 11.00.00,2370,1,1,-1,Trace Rain
Sunday,1/8/2023,12:00,08.01.2023 12.00.00,2390,1,1,-1,Trace Rain
Sunday,1/8/2023,13:00,08.01.2023 13.00.00,2358,1,1,-1,Trace Rain
Sunday,1/8/2023,14:00,08.01.2023 14.00.00,2532,1,1,-1,Trace Rain
Sunday,1/8/2023,15:00,08.01.2023 15.00.00,2449,1,1,-1,Trace Rain
Sunday,1/8/2023,16:00,08.01.2023 16.00.00,2737,1,1,-1,Trace Rain
Sunday,1/8/2023,17:00,08.01.2023 17.00.00,2964,1,1,-1,Trace Rain
Sunday,1/8/2023,18:00,08.01.2023 18.00.00,2523,1,1,-1,Trace Rain
Sunday,1/8/2023,19:00,08.01.2023 19.00.00,2410,1,1,-1,Trace Rain
Sunday,1/8/2023,20:00,08.01.2023 20.00.00,2080,1,1,-1,Trace Rain
Sunday,1/8/2023,21:00,08.01.2023 21.00.00,1583,1,1,-1,Trace Rain
Sunday,1/8/2023,22:00,08.01.2023 22.00.00,76,1,1,-1,Trace Rain
Sunday,1/8/2023,23:00,08.01.2023 23.00.00,0,1,1,-1,Trace Rain
Monday,1/9/2023,4:00,09.01.2023 04.00.00,0,0,0,0,No Rain
Monday,1/9/2023,5:00,09.01.2023 05.00.00,2817,0,0,0,No Rain
Monday,1/9/2023,6:00,09.01.2023 06.00.00,4237,0,0,0,No Rain
Monday,1/9/2023,7:00,09.01.2023 07.00.00,4830,0,0,0,No Rain
Monday,1/9/2023,8:00,09.01.2023 08.00.00,4098,0,0,0,No Rain
Monday,1/9/2023,9:00,09.01.2023 09.00.00,3383,0,0,0,No Rain
Monday,1/9/2023,10:00,09.01.2023 10.00.00,2754,0,0,0,No Rain
Monday,1/9/2023,11:00,09.01.2023 11.00.00,2687,0,0,0,No Rain
Monday,1/9/2023,12:00,09.01.2023 12.00.00,2488,0,0,0,No Rain
Monday,1/9/2023,13:00,09.01.2023 13.00.00,2502,0,0,0,No Rain
Monday,1/9/2023,14:00,09.01.2023 14.00.00,2535,0,0,0,No Rain
Monday,1/9/2023,15:00,09.01.2023 15.00.00,2560,0,0,0,No Rain
Monday,1/9/2023,16:00,09.01.2023 16.00.00,2785,0,0,0,No Rain
Monday,1/9/2023,17:00,09.01.2023 17.00.00,3118,0,0,0,No Rain
Monday,1/9/2023,18:00,09.01.2023 18.00.00,2997,0,0,0,No Rain
Monday,1/9/2023,19:00,09.01.2023 19.00.00,2578,0,0,0,No Rain
Monday,1/9/2023,20:00,09.01.2023 20.00.00,2334,0,0,0,No Rain
Monday,1/9/2023,21:00,09.01.2023 21.00.00,1506,0,0,0,No Rain
Monday,1/9/2023,22:00,09.01.2023 22.00.00,28,0,0,0,No Rain
Monday,1/9/2023,23:00,09.01.2023 23.00.00,0,0,0,0,No Rain
Tuesday,1/10/2023,4:00,10.01.2023 04.00.00,0,0,0,0,No Rain
Tuesday,1/10/2023,5:00,10.01.2023 05.00.00,2474,0,0,0,No Rain
Tuesday,1/10/2023,6:00,10.01.2023 06.00.00,3754,0,0,0,No Rain
Tuesday,1/10/2023,7:00,10.01.2023 07.00.00,4873,0,0,0,No Rain
Tuesday,1/10/2023,8:00,10.01.2023 08.00.00,4196,0,0,0,No Rain
Tuesday,1/10/2023,9:00,10.01.2023 09.00.00,3241,0,0,0,No Rain
Tuesday,1/10/2023,10:00,10.01.2023 10.00.00,2717,0,0,0,No Rain
Tuesday,1/10/2023,11:00,10.01.2023 11.00.00,2609,0,0,0,No Rain
Tuesday,1/10/2023,12:00,10.01.2023 12.00.00,2514,0,0,0,No Rain
Tuesday,1/10/2023,13:00,10.01.2023 13.00.00,2472,0,0,0,No Rain
Tuesday,1/10/2023,14:00,10.01.2023 14.00.00,2562,0,0,0,No Rain
Tuesday,1/10/2023,15:00,10.01.2023 15.00.00,2599,0,0,0,No Rain
Tuesday,1/10/2023,16:00,10.01.2023 16.00.00,3144,0,0,0,No Rain
Tuesday,1/10/2023,17:00,10.01.2023 17.00.00,3529,0,0,0,No Rain
Tuesday,1/10/2023,18:00,10.01.2023 18.00.00,3278,0,0,0,No Rain
Tuesday,1/10/2023,19:00,10.01.2023 19.00.00,2941,0,0,0,No Rain
Tuesday,1/10/2023,20:00,10.01.2023 20.00.00,2401,0,0,0,No Rain
Tuesday,1/10/2023,21:00,10.01.2023 21.00.00,1740,0,0,0,No Rain
Tuesday,1/10/2023,22:00,10.01.2023 22.00.00,39,0,0,0,No Rain
Tuesday,1/10/2023,23:00,10.01.2023 23.00.00,0,0,0,0,No Rain
Wednesday,1/11/2023,4:00,11.01.2023 04.00.00,0,0,0,0,No Rain
Wednesday,1/11/2023,5:00,11.01.2023 05.00.00,2416,0,0,0,No Rain
Wednesday,1/11/2023,6:00,11.01.2023 06.00.00,3891,0,0,0,No Rain
Wednesday,1/11/2023,7:00,11.01.2023 07.00.00,5030,0,0,0,No Rain
Wednesday,1/11/2023,8:00,11.01.2023 08.00.00,4128,0,0,0,No Rain
Wednesday,1/11/2023,9:00,11.01.2023 09.00.00,3207,0,0,0,No Rain
Wednesday,1/11/2023,10:00,11.01.2023 10.00.00,2698,0,0,0,No Rain
Wednesday,1/11/2023,11:00,11.01.2023 11.00.00,2779,0,0,0,No Rain
Wednesday,1/11/2023,12:00,11.01.2023 12.00.00,2628,0,0,0,No Rain
Wednesday,1/11/2023,13:00,11.01.2023 13.00.00,2464,0,0,0,No Rain
Wednesday,1/11/2023,14:00,11.01.2023 14.00.00,2566,0,0,0,No Rain
Wednesday,1/11/2023,15:00,11.01.2023 15.00.00,2934,0,0,0,No Rain
Wednesday,1/11/2023,16:00,11.01.2023 16.00.00,3306,0,0,0,No Rain
Wednesday,1/11/2023,17:00,11.01.2023 17.00.00,3629,0,0,0,No Rain
Wednesday,1/11/2023,18:00,11.01.2023 18.00.00,3320,0,0,0,No Rain
Wednesday,1/11/2023,19:00,11.01.2023 19.00.00,2973,0,0,0,No Rain
Wednesday,1/11/2023,20:00,11.01.2023 20.00.00,2561,0,0,0,No Rain
Wednesday,1/11/2023,21:00,11.01.2023 21.00.00,1782,0,0,0,No Rain
Wednesday,1/11/2023,22:00,11.01.2023 22.00.00,74,0,0,0,No Rain
Wednesday,1/11/2023,23:00,11.01.2023 23.00.00,0,0,0,0,No Rain
Thursday,1/12/2023,4:00,12.01.2023 04.00.00,0,0,0,0,No Rain
Thursday,1/12/2023,5:00,12.01.2023 05.00.00,2460,0,0,0,No Rain
Thursday,1/12/2023,6:00,12.01.2023 06.00.00,3743,0,0,0,No Rain
Thursday,1/12/2023,7:00,12.01.2023 07.00.00,4985,0,0,0,No Rain
Thursday,1/12/2023,8:00,12.01.2023 08.00.00,4008,0,0,0,No Rain
Thursday,1/12/2023,9:00,12.01.2023 09.00.00,3121,0,0,0,No Rain
Thursday,1/12/2023,10:00,12.01.2023 10.00.00,2538,0,0,0,No Rain
Thursday,1/12/2023,11:00,12.01.2023 11.00.00,2552,0,0,0,No Rain
Thursday,1/12/2023,12:00,12.01.2023 12.00.00,2466,0,0,0,No Rain
Thursday,1/12/2023,13:00,12.01.2023 13.00.00,2234,0,0,0,No Rain
Thursday,1/12/2023,14:00,12.01.2023 14.00.00,2230,0,0,0,No Rain
Thursday,1/12/2023,15:00,12.01.2023 15.00.00,2593,0,0,0,No Rain
Thursday,1/12/2023,16:00,12.01.2023 16.00.00,2845,0,0,0,No Rain
Thursday,1/12/2023,17:00,12.01.2023 17.00.00,3333,0,0,0,No Rain
Thursday,1/12/2023,18:00,12.01.2023 18.00.00,3133,0,0,0,No Rain
Thursday,1/12/2023,19:00,12.01.2023 19.00.00,2925,0,0,0,No Rain
Thursday,1/12/2023,20:00,12.01.2023 20.00.00,2381,0,0,0,No Rain
Thursday,1/12/2023,21:00,12.01.2023 21.00.00,1665,0,0,0,No Rain
Thursday,1/12/2023,22:00,12.01.2023 22.00.00,60,0,0,0,No Rain
Thursday,1/12/2023,23:00,12.01.2023 23.00.00,0,0,0,0,No Rain
Friday,1/13/2023,4:00,13.01.2023 04.00.00,0,0,0,0,No Rain
Friday,1/13/2023,5:00,13.01.2023 05.00.00,2366,0,0,0,No Rain
Friday,1/13/2023,6:00,13.01.2023 06.00.00,3661,0,0,0,No Rain
Friday,1/13/2023,7:00,13.01.2023 07.00.00,4621,0,0,0,No Rain
Friday,1/13/2023,8:00,13.01.2023 08.00.00,3789,0,0,0,No Rain
Friday,1/13/2023,9:00,13.01.2023 09.00.00,3124,0,0,0,No Rain
Friday,1/13/2023,10:00,13.01.2023 10.00.00,2854,0,0,0,No Rain
Friday,1/13/2023,11:00,13.01.2023 11.00.00,2729,0,0,0,No Rain
Friday,1/13/2023,12:00,13.01.2023 12.00.00,2905,0,0,0,No Rain
Friday,1/13/2023,13:00,13.01.2023 13.00.00,2744,0,0,0,No Rain
Friday,1/13/2023,14:00,13.01.2023 14.00.00,2698,0,0,0,No Rain
Friday,1/13/2023,15:00,13.01.2023 15.00.00,2919,0,0,0,No Rain
Friday,1/13/2023,16:00,13.01.2023 16.00.00,3275,0,0,0,No Rain
Friday,1/13/2023,17:00,13.01.2023 17.00.00,3517,0,0,0,No Rain
Friday,1/13/2023,18:00,13.01.2023 18.00.00,3336,0,0,0,No Rain
Friday,1/13/2023,19:00,13.01.2023 19.00.00,3074,0,0,0,No Rain
Friday,1/13/2023,20:00,13.01.2023 20.00.00,2533,0,0,0,No Rain
Friday,1/13/2023,21:00,13.01.2023 21.00.00,2054,0,0,0,No Rain
Friday,1/13/2023,22:00,13.01.2023 22.00.00,84,0,0,0,No Rain
Friday,1/13/2023,23:00,13.01.2023 23.00.00,0,0,0,0,No Rain
Saturday,1/14/2023,4:00,14.01.2023 04.00.00,0,1,1,-1,Trace Rain
Saturday,1/14/2023,5:00,14.01.2023 05.00.00,1646,1,1,-1,Trace Rain
Saturday,1/14/2023,6:00,14.01.2023 06.00.00,2237,1,1,-1,Trace Rain
Saturday,1/14/2023,7:00,14.01.2023 07.00.00,2463,1,1,-1,Trace Rain
Saturday,1/14/2023,8:00,14.01.2023 08.00.00,2391,1,1,-1,Trace Rain
Saturday,1/14/2023,9:00,14.01.2023 09.00.00,2368,1,1,-1,Trace Rain
Saturday,1/14/2023,10:00,14.01.2023 10.00.00,2280,1,1,-1,Trace Rain
Saturday,1/14/2023,11:00,14.01.2023 11.00.00,2449,1,1,-1,Trace Rain
Saturday,1/14/2023,12:00,14.01.2023 12.00.00,2549,1,1,-1,Trace Rain
Saturday,1/14/2023,13:00,14.01.2023 13.00.00,2563,1,1,-1,Trace Rain
Saturday,1/14/2023,14:00,14.01.2023 14.00.00,2531,1,1,-1,Trace Rain
Saturday,1/14/2023,15:00,14.01.2023 15.00.00,2827,1,1,-1,Trace Rain
Saturday,1/14/2023,16:00,14.01.2023 16.00.00,3364,1,1,-1,Trace Rain
Saturday,1/14/2023,17:00,14.01.2023 17.00.00,3524,1,1,-1,Trace Rain
Saturday,1/14/2023,18:00,14.01.2023 18.00.00,3051,1,1,-1,Trace Rain
Saturday,1/14/2023,19:00,14.01.2023 19.00.00,2660,1,1,-1,Trace Rain
Saturday,1/14/2023,20:00,14.01.2023 20.00.00,2506,1,1,-1,Trace Rain
Saturday,1/14/2023,21:00,14.01.2023 21.00.00,1625,1,1,-1,Trace Rain
Saturday,1/14/2023,22:00,14.01.2023 22.00.00,76,1,1,-1,Trace Rain
Saturday,1/14/2023,23:00,14.01.2023 23.00.00,0,1,1,-1,Trace Rain
Sunday,1/15/2023,4:00,15.01.2023 04.00.00,0,1,3,10.5,Moderate Rain
Sunday,1/15/2023,5:00,15.01.2023 05.00.00,1022,1,3,10.5,Moderate Rain
Sunday,1/15/2023,6:00,15.01.2023 06.00.00,1385,1,3,10.5,Moderate Rain
Sunday,1/15/2023,7:00,15.01.2023 07.00.00,1595,1,3,10.5,Moderate Rain
Sunday,1/15/2023,8:00,15.01.2023 08.00.00,2006,1,3,10.5,Moderate Rain
Sunday,1/15/2023,9:00,15.01.2023 09.00.00,2185,1,3,10.5,Moderate Rain
Sunday,1/15/2023,10:00,15.01.2023 10.00.00,2004,1,3,10.5,Moderate Rain
Sunday,1/15/2023,11:00,15.01.2023 11.00.00,2386,1,3,10.5,Moderate Rain
Sunday,1/15/2023,12:00,15.01.2023 12.00.00,2350,1,3,10.5,Moderate Rain
Sunday,1/15/2023,13:00,15.01.2023 13.00.00,2487,1,3,10.5,Moderate Rain
